"Famyli"	"Fitogeography_origin"	"Genus_and_species"	"n_MF1"	"n_MF2"	"n_MF3"	"n_MF4"	"n_MF5"	"n_MF6"	"biomass_total_MF1 (Mg)"	"biomass_total_MF2(Mg)"	"biomass_total_MF3 (Mg)"	"biomass_total_MF4 (Mg)"	"biomass_total_MF5 (Mg)"	"biomass_total_MF6 (Mg)"
"52"	"Cannabaceae"	"Trop"	"Trema micrantha"	NA	0,197140253992051	NA	NA	NA	NA	NA	16	NA	NA	NA	NA
"53"	"Cardiopteridaceae"	"Trop"	"Citronella paniculata"	NA	0,47790688722791	0,0152225797687027	0,0260008277733239	NA	NA	NA	6	1	2	NA	NA
"54"	"Caricaceae"	"Trop"	"Jacaratia heptaphylla"	NA	3,16678919795663	NA	NA	NA	NA	NA	13	NA	NA	NA	NA
"55"	"Celastraceae"	"Trop"	"Maytenus aquifolia"	0,0611048070566377	0,492787698547187	NA	NA	NA	NA	3	5	NA	NA	NA	NA
"56"	"Celastraceae"	"Trop"	"Maytenus evonymoides"	0,241069666805378	0,0478569264374778	NA	NA	0,0928770693747857	NA	5	4	NA	NA	2	NA
"57"	"Celastraceae"	"Trop"	"Maytenus salicifolia"	NA	NA	0,02914678413181	NA	NA	NA	NA	NA	2	NA	NA	NA
"58"	"Celastraceae"	"Trop"	"Maytenus sp.1"	0,374638028437002	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA
"59"	"Chrysobalanaceae"	"Trop"	"Licania kunthiana"	2,39008583308916	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA
"60"	"Clethraceae"	"Trop"	"Clethra scabra"	NA	0,123671043558866	0,443855435083399	17,4393343610061	0,297415034879665	0,083918446386453	NA	1	9	96	8	6
"61"	"Combretaceae"	"Trop"	"Terminalia triflora"	NA	0,0342290542687836	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"62"	"Cunoniaceae"	"Temp"	"Weinmannia paulliniifolia"	NA	NA	NA	1,17934240134066	NA	NA	NA	NA	NA	3	NA	NA
"63"	"Elaeocarpaceae"	"Trop"	"Sloanea lasiocoma"	NA	0,789960559967956	NA	0,0072968294411116	NA	NA	NA	7	NA	1	NA	NA
"64"	"Ericaceae"	"Trop"	"Agarista oleifolia"	NA	NA	NA	NA	NA	0,809982313597752	NA	NA	NA	NA	NA	26
"65"	"Erythroxylaceae"	"Trop"	"Erythroxyllum sp"	NA	0,0139492929107131	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
"66"	"Erythroxylaceae"	"Trop"	"Erythroxylum cuneifolium"	0,0949164536655474	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
"67"	"Euphorbiaceae"	"Trop"	"Actinostemon concepcionis"	NA	0,56346469490928	NA	NA	NA	NA	NA	25	NA	NA	NA	NA
"68"	"Euphorbiaceae"	"Trop"	"Alchornea glandulosa"	NA	0,00937693754726598	NA	NA	0,0426561282125337	NA	NA	1	NA	NA	2	NA
"69"	"Euphorbiaceae"	"Trop"	"Alchornea triplinervia"	NA	0,576097137701742	NA	NA	0,037529667869019	NA	NA	5	NA	NA	3	NA
"70"	"Euphorbiaceae"	"Trop"	"Croton floribundus"	NA	2,16441137644405	NA	NA	NA	NA	NA	13	NA	NA	NA	NA
"71"	"Euphorbiaceae"	"Trop"	"Croton macrobothrys"	NA	NA	NA	0,0356115091067593	NA	NA	NA	NA	NA	1	NA	NA
"72"	"Euphorbiaceae"	"Trop"	"Gymnanthes klotzschiana"	0,0377243223874725	3,07803505639541	NA	NA	NA	NA	2	20	NA	NA	NA	NA
"73"	"Euphorbiaceae"	"Trop"	"Micrandra sp."	0,54020291929188	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"74"	"Euphorbiaceae"	"Trop"	"Sapium glandulosum"	2,09155014055718	NA	NA	NA	1,30200316347479	NA	17	NA	NA	NA	18	NA
"75"	"Euphorbiaceae"	"Trop"	"Sebastiania brasiliensis"	NA	NA	NA	NA	2,23207485994873	NA	NA	NA	NA	NA	24	NA
"76"	"Euphorbiaceae"	"Trop"	"Tetrorchidium rubrivenium"	NA	0,131935011286243	NA	NA	NA	NA	NA	7	NA	NA	NA	NA
"77"	"Fabaceae"	"Trop"	"Abarema langsdorffii"	0,0292950760800706	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"78"	"Fabaceae"	"Trop"	"Acacia polyphylla"	NA	0,0118505390530784	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"79"	"Fabaceae"	"Trop"	"Anadenanthera sp."	0,551635484760907	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA
"80"	"Fabaceae"	"Trop"	"Cassia leptophylla"	1,47246178039259	0,993287868956787	NA	NA	NA	NA	6	1	NA	NA	NA	NA
"81"	"Fabaceae"	"Trop"	"Copaifera langsdorffii"	0,513690819313113	0,764127707104646	NA	NA	NA	NA	2	3	NA	NA	NA	NA
"82"	"Fabaceae"	"Trop"	"Copaifera trapezifolia"	NA	1,00171661281126	NA	NA	NA	NA	NA	21	NA	NA	NA	NA
"83"	"Fabaceae"	"Trop"	"Dalbergia brasiliensis"	2,68608642700852	NA	NA	NA	3,28837441775188	NA	5	NA	NA	NA	28	NA
"84"	"Fabaceae"	"Trop"	"Dalbergia myriantha"	NA	NA	NA	NA	0,0714974855739047	NA	NA	NA	NA	NA	3	NA
"85"	"Fabaceae"	"Trop"	"Enterolobium sp."	0,192782922551478	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
"86"	"Fabaceae"	"Trop"	"Erythrina falcata"	0,634025377324395	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA
"87"	"Fabaceae"	"Trop"	"Exostyles godoyensis"	0,0787157743773454	1,74943325585695	NA	NA	NA	NA	2	19	NA	NA	NA	NA
"88"	"Fabaceae"	"Trop"	"Holocalyx glaziovii"	NA	0,0799694644987182	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
"89"	"Fabaceae"	"Trop"	"Inga edwalii"	NA	NA	NA	NA	0,00580440198107479	NA	NA	NA	NA	NA	1	NA
"90"	"Fabaceae"	"Trop"	"Inga marginata"	NA	0,281837323977964	NA	NA	NA	NA	NA	10	NA	NA	NA	NA
"91"	"Fabaceae"	"Trop"	"Inga sessilis"	NA	0,0230895057796954	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
"92"	"Fabaceae"	"Trop"	"Inga striata"	NA	1,71720584193297	NA	NA	NA	NA	NA	18	NA	NA	NA	NA
"93"	"Fabaceae"	"Trop"	"Leucochloron incuriale"	NA	NA	NA	NA	0,00888531038801547	NA	NA	NA	NA	NA	1	NA
"94"	"Fabaceae"	"Trop"	"Lonchocarpus campestris"	0,983388332663495	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA
"95"	"Fabaceae"	"Trop"	"Lonchocarpus cultratus"	0,0987218966788474	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA
"96"	"Fabaceae"	"Trop"	"Machaerium brasiliense"	1,85621434723883	NA	NA	NA	NA	NA	37	NA	NA	NA	NA	NA
"97"	"Fabaceae"	"Trop"	"Machaerium hatschbachii"	1,39247743783024	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA
"98"	"Fabaceae"	"Trop"	"Machaerium nyctitans"	0,32558123044868	10,2905657195034	NA	NA	NA	NA	6	18	NA	NA	NA	NA
"99"	"Fabaceae"	"Trop"	"Machaerium paraguariense"	NA	4,41365334453001	NA	NA	NA	NA	NA	26	NA	NA	NA	NA
"100"	"Fabaceae"	"Trop"	"Machaerium scleroxylon"	0,0583727765853441	9,83677558935889	NA	NA	NA	NA	2	13	NA	NA	NA	NA
