"bc"	"bp"	"cj"	"fb"	"fsf"	"it"
"Inga_edwalii"	0	0	0	1	0	0
"Lafoensia_pacari"	0	0	0	119	0	0
"Leucochloron_incuriale"	0	0	0	1	0	0
"Machaerium_villosum"	0	0	0	2	0	0
"Miconia_ligustroides"	0	0	0	27	0	0
"Miconia_pusiliflora"	0	0	0	5	0	0
"Miconia_shepherdii"	0	0	0	5	0	0
"Myrceugenia_scutellata"	0	0	0	1	0	0
"Myrcia_aethusa"	0	0	0	1	0	0
"Myrcia_bicarinata"	0	0	0	17	0	0
"Nectandra_nitidula"	0	0	0	23	0	0
"Neomitranthes_pedicellata"	0	0	0	12	0	0
"Ormosia_sp."	0	0	0	1	0	0
"Picrasma_crenata"	0	0	0	1	0	0
"Plinia_rivularis"	0	0	0	1	0	0
"Psidium_sp."	0	0	0	3	0	0
"Rudgea_gardenoides"	0	0	0	1	0	0
"Sebastiania_brasiliensis"	0	0	0	24	0	0
"Senna_macranthera"	0	0	0	1	0	0
"Siphoneugena_densiflora"	0	0	0	6	0	0
"Symplocos_revoluta"	0	0	0	23	0	0
"Vernonanthura_divaricata"	0	0	0	23	0	0
"Vochysia_saldanhana"	0	0	0	5	0	0
