"id","scientific.name","accepted.name","family","taxon.rank","taxon.status","search.str","threat.status.cnc","threat.status.mma","threat.status.mma2022","notes","original.search"
"73",7694,"Erythroxylum cuneifolium (Mart.) O.E.Schulz",NA,"Erythroxylaceae","species","accepted","Erythroxylum cuneifolium",NA,NA,NA,"","Erythroxylum cuneifolium"
"74",29144,"Actinostemon concepcionis (Chodat & Hassl.) Hochr.",NA,"Euphorbiaceae","species","accepted","Actinostemon concepcionis",NA,NA,NA,"","Actinostemon concepcionis"
"75",17456,"Alchornea glandulosa Poepp. & Endl.",NA,"Euphorbiaceae","species","accepted","Alchornea glandulosa",NA,NA,NA,"","Alchornea glandulosa"
"76",17458,"Alchornea triplinervia (Spreng.) Müll.Arg.",NA,"Euphorbiaceae","species","accepted","Alchornea triplinervia",NA,NA,NA,"","Alchornea triplinervia"
"77",17512,"Croton floribundus Spreng.",NA,"Euphorbiaceae","species","accepted","Croton floribundus",NA,NA,NA,"","Croton floribundus"
"78",35862,"Croton macrobothrys Baill.",NA,"Euphorbiaceae","species","accepted","Croton macrobothrys",NA,NA,NA,"","Croton macrobothrys"
"79",17617,"Micrandra Benth.",NA,"Euphorbiaceae","genus","accepted","Micrandra sp.",NA,NA,NA,"","Micrandra sp."
"80",17664,"Sapium glandulosum (L.) Morong",NA,"Euphorbiaceae","species","accepted","Sapium glandulosum",NA,NA,NA,"","Sapium glandulosum"
"81",17671,"Sebastiania brasiliensis Spreng.",NA,"Euphorbiaceae","species","accepted","Sebastiania brasiliensis",NA,NA,NA,"","Sebastiania brasiliensis"
"82",55510,"Gymnanthes klotzschiana Müll.Arg.",NA,"Euphorbiaceae","species","accepted","Gymnanthes klotzschiana",NA,NA,NA,"replaced synonym","Sebastiania klotzschiana"
"83",17690,"Tetrorchidium rubrivenium Poepp.",NA,"Euphorbiaceae","species","accepted","Tetrorchidium rubrivenium","LC",NA,NA,"","Tetrorchidium rubrivenium"
"84",101015,"Senegalia polyphylla (DC.) Britton & Rose",NA,"Fabaceae","species","accepted","Senegalia polyphylla",NA,NA,NA,"replaced synonym","Acacia polyphylla"
"85",22782,"Anadenanthera Speg.",NA,"Fabaceae","genus","accepted","Anadenanthera sp.",NA,NA,NA,"","Anadenanthera sp."
"86",100880,"Cassia leptophylla Vogel",NA,"Fabaceae","species","accepted","Cassia leptophylla",NA,NA,NA,"","Cassia leptophylla"
"87",22896,"Copaifera langsdorffii Desf.",NA,"Fabaceae","species","accepted","Copaifera langsdorffii",NA,NA,NA,"","Copaifera langsdorffii"
"88",82976,"Copaifera trapezifolia Hayne",NA,"Fabaceae","species","accepted","Copaifera trapezifolia",NA,NA,NA,"","Copaifera trapezifolia"
"89",29592,"Dalbergia brasiliensis Vogel",NA,"Fabaceae","species","accepted","Dalbergia brasiliensis",NA,NA,NA,"","Dalbergia brasiliensis"
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not found","Dalbergia myriantha"
"91",22961,"Enterolobium Mart.",NA,"Fabaceae","genus","accepted","Enterolobium sp.",NA,NA,NA,"","Enterolobium sp."
"92",29676,"Erythrina falcata Benth.",NA,"Fabaceae","species","accepted","Erythrina falcata",NA,NA,NA,"","Erythrina falcata"
"93",78704,"Exostyles godoyensis Soares-Silva & Mansano",NA,"Fabaceae","species","accepted","Exostyles godoyensis",NA,NA,NA,"","Exostyles godoyensis"
"94",103653,"Holocalyx glaziovii Taub. ex Glaz.",NA,"Fabaceae","species",NA,"Holocalyx glaziovii",NA,NA,NA,"was misspelled|check undefined status","Holocalyx glaziovii"
"95",100929,"Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","species","accepted","Inga edwallii",NA,NA,NA,"was misspelled","Inga edwalii"
"96",23012,"Inga marginata Willd.",NA,"Fabaceae","species","accepted","Inga marginata",NA,NA,NA,"","Inga marginata"
"97",83263,"Inga sessilis (Vell.) Mart.",NA,"Fabaceae","species","accepted","Inga sessilis",NA,NA,NA,"","Inga sessilis"
"98",23029,"Inga striata Benth.",NA,"Fabaceae","species","accepted","Inga striata",NA,NA,NA,"","Inga striata"
"99",31038,"Leucochloron incuriale (Vell.) Barneby & J.W.Grimes",NA,"Fabaceae","species","accepted","Leucochloron incuriale",NA,NA,NA,"","Leucochloron incuriale"
"100",134213,"Muellera campestris (Mart. ex Benth.) M.J. Silva & A.M.G. Azevedo",NA,"Fabaceae","species","accepted","Muellera campestris",NA,NA,NA,"replaced synonym","Lonchocarpus campestris"
"101",23052,"Lonchocarpus cultratus (Vell.) A.M.G.Azevedo & H.C.Lima",NA,"Fabaceae","species","accepted","Lonchocarpus cultratus",NA,NA,NA,"","Lonchocarpus cultratus"
"102",101144,"Machaerium hatschbachii Rudd",NA,"Fabaceae","species","accepted","Machaerium hatschbachii",NA,NA,NA,"","Machaerium hatschbachii"
"103",29781,"Machaerium stipitatum Vogel",NA,"Fabaceae","species","accepted","Machaerium stipitatum",NA,NA,NA,"replaced synonym","Machaerium minutiflorum"
"104",29774,"Machaerium nyctitans (Vell.) Benth.",NA,"Fabaceae","species","accepted","Machaerium nyctitans","LC",NA,NA,"","Machaerium nyctitans"
"105",29778,"Machaerium paraguariense Hassl.",NA,"Fabaceae","species","accepted","Machaerium paraguariense","LC",NA,NA,"","Machaerium paraguariense"
"106",29780,"Machaerium scleroxylon Tul.",NA,"Fabaceae","species","accepted","Machaerium scleroxylon",NA,NA,NA,"","Machaerium scleroxylon"
"107",23055,"Machaerium Pers.",NA,"Fabaceae","genus","accepted","Machaerium sp.",NA,NA,NA,"","Machaerium sp."
"108",29781,"Machaerium stipitatum Vogel",NA,"Fabaceae","species","accepted","Machaerium stipitatum",NA,NA,NA,"","Machaerium stipitatum"
"109",29764,"Machaerium brasiliense Vogel",NA,"Fabaceae","species","accepted","Machaerium brasiliense",NA,NA,NA,"replaced synonym","Machaerium vestitum"
"110",29784,"Machaerium villosum Vogel",NA,"Fabaceae","species","accepted","Machaerium villosum","LC",NA,NA,"","Machaerium villosum"
"111",100978,"Mimosa scabrella Benth.",NA,"Fabaceae","species","accepted","Mimosa scabrella",NA,NA,NA,"","Mimosa scabrella"
"112",23102,"Ormosia Jacks.",NA,"Fabaceae","genus","accepted","Ormosia sp.",NA,NA,NA,"","Ormosia sp."
"113",31381,"Parapiptadenia rigida (Benth.) Brenan",NA,"Fabaceae","species","accepted","Parapiptadenia rigida",NA,NA,NA,"","Parapiptadenia rigida"
"114",31387,"Piptadenia gonoacantha (Mart.) J.F.Macbr.",NA,"Fabaceae","species","accepted","Piptadenia gonoacantha","LC",NA,NA,"","Piptadenia gonoacantha"
"115",17978,"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",NA,"Fabaceae","species","accepted","Abarema langsdorffii",NA,NA,NA,"replaced synonym","Pithecellobium langsdorffii"
"116",29821,"Poecilanthe parviflora Benth.",NA,"Fabaceae","species","accepted","Poecilanthe parviflora","LC",NA,NA,"","Poecilanthe parviflora"
"117",28201,"Senna macranthera (DC. ex Collad.) H.S.Irwin & Barneby",NA,"Fabaceae","species","accepted","Senna macranthera",NA,NA,NA,"","Senna macranthera"
"118",23157,"Senna multijuga (Rich.) H.S.Irwin & Barneby",NA,"Fabaceae","species","accepted","Senna multijuga",NA,NA,NA,"","Senna multijuga"
"119",29883,"Swartzia acutifolia Vogel",NA,"Fabaceae","species","accepted","Swartzia acutifolia","LC",NA,NA,"","Swartzia acutifolia"
"120",23320,"Aegiphila integrifolia (Jacq.) Moldenke",NA,"Lamiaceae","species","accepted","Aegiphila integrifolia",NA,NA,NA,"","Aegiphila integrifolia"
"121",8371,"Vitex polygama Cham.",NA,"Lamiaceae","species","accepted","Vitex polygama",NA,NA,NA,"","Vitex polygama"
"122",607775,"Aiouea glaziovii (Mez) R.Rohde",NA,"Lauraceae","species","accepted","Aiouea glaziovii",NA,NA,NA,"replaced synonym","Cinnamomum glaziovii"
"123",624397,"Aiouea sellowiana (Nees & Mart.) R.Rohde",NA,"Lauraceae","species","accepted","Aiouea sellowiana",NA,NA,NA,"replaced synonym","Cinnamomum sellowianum"
"124",8395,"Cinnamomum Schaeff.",NA,"Lauraceae","genus","accepted","Cinnamomum sp.1",NA,NA,NA,"","Cinnamomum sp.1"
"125",605125,"Aiouea montana (Sw.) R.Rohde",NA,"Lauraceae","species","accepted","Aiouea montana",NA,NA,NA,"replaced synonym","Cinnamomum triplinerve"
"126",8417,"Endlicheria paniculata (Spreng.) J.F.Macbr.",NA,"Lauraceae","species","accepted","Endlicheria paniculata",NA,NA,NA,"","Endlicheria paniculata"
"127",104769,"Nectandra angustifolia (Schrad.) Nees & Mart.",NA,"Lauraceae","species","accepted","Nectandra angustifolia","LC",NA,NA,"","Nectandra angustifolia"
"128",8429,"Nectandra lanceolata Nees",NA,"Lauraceae","species","accepted","Nectandra lanceolata",NA,NA,NA,"","Nectandra lanceolata"
"129",8431,"Nectandra megapotamica (Spreng.) Mez",NA,"Lauraceae","species","accepted","Nectandra megapotamica",NA,NA,NA,"","Nectandra megapotamica"
"130",8433,"Nectandra nitidula Nees & Mart.",NA,"Lauraceae","species","accepted","Nectandra nitidula",NA,NA,NA,"","Nectandra nitidula"
"131",8434,"Nectandra oppositifolia Nees & Mart.",NA,"Lauraceae","species","accepted","Nectandra oppositifolia",NA,NA,NA,"","Nectandra oppositifolia"
"132",17940,"Ocotea bicolor Vattimo-Gil",NA,"Lauraceae","species","accepted","Ocotea bicolor","LC",NA,NA,"","Ocotea bicolor"
"133",8447,"Ocotea brachybotrya (Meisn.) Mez",NA,"Lauraceae","species","accepted","Ocotea brachybotrya",NA,NA,NA,"was misspelled","Ocotea brachybotra"
"134",8496,"Ocotea corymbosa (Meisn.) Mez",NA,"Lauraceae","species","accepted","Ocotea corymbosa",NA,NA,NA,"","Ocotea corymbosa"
"135",8499,"Ocotea diospyrifolia (Meisn.) Mez",NA,"Lauraceae","species","accepted","Ocotea diospyrifolia",NA,NA,NA,"","Ocotea diospyrifolia"
"136",8455,"Ocotea dispersa (Nees & Mart.) Mez",NA,"Lauraceae","species","accepted","Ocotea dispersa",NA,NA,NA,"","Ocotea dispersa"
"137",8463,"Ocotea indecora (Schott) Mez",NA,"Lauraceae","species","accepted","Ocotea indecora",NA,NA,NA,"replaced synonym","Ocotea elegans"
"138",8461,"Ocotea glaziovii Mez",NA,"Lauraceae","species","accepted","Ocotea glaziovii",NA,NA,NA,"","Ocotea glaziovii"
"139",8463,"Ocotea indecora (Schott) Mez",NA,"Lauraceae","species","accepted","Ocotea indecora",NA,NA,NA,"","Ocotea indecora"
"140",8475,"Ocotea nutans (Nees) Mez",NA,"Lauraceae","species","accepted","Ocotea nutans",NA,NA,NA,"","Ocotea nutans"
"141",8476,"Ocotea odorifera (Vell.) Rohwer",NA,"Lauraceae","species","accepted","Ocotea odorifera","EN","EN","EN","","Ocotea odorifera"
"142",25620,"Ocotea prolifera (Nees & Mart.) Mez",NA,"Lauraceae","species","accepted","Ocotea prolifera",NA,NA,NA,"","Ocotea prolifera"
"143",8507,"Ocotea puberula (Rich.) Nees",NA,"Lauraceae","species","accepted","Ocotea puberula","NT",NA,NA,"","Ocotea puberula"
"144",8480,"Ocotea pulchella (Nees & Mart.) Mez",NA,"Lauraceae","species","accepted","Ocotea pulchella","LC",NA,NA,"","Ocotea pulchella"
"145",8485,"Ocotea silvestris Vattimo-Gil",NA,"Lauraceae","species","accepted","Ocotea silvestris","LC",NA,NA,"","Ocotea silvestris"
"146",8440,"Ocotea Aubl.",NA,"Lauraceae","genus","accepted","Ocotea sp.",NA,NA,NA,"","Ocotea sp."
"147",8510,"Ocotea teleiandra (Meisn.) Mez",NA,"Lauraceae","species","accepted","Ocotea teleiandra",NA,NA,NA,"","Ocotea teleiandra"
"148",8512,"Persea alba Nees & Mart.",NA,"Lauraceae","species","accepted","Persea alba",NA,NA,NA,"","Persea alba"
"149",619949,"Cinnamomum microneurum (Meisn.) Kosterm.",NA,"Lauraceae","species","accepted","Cinnamomum microneurum",NA,NA,NA,"replaced synonym","Persea microneura"
"150",8511,"Persea Mill.",NA,"Lauraceae","genus","accepted","Persea sp.",NA,NA,NA,"","Persea sp."
"151",8523,"Persea willdenovii Kosterm.",NA,"Lauraceae","species","accepted","Persea willdenovii","LC",NA,NA,"","Persea willdenovii"
"152",8670,"Strychnos brasiliensis (Spreng.) Mart.",NA,"Loganiaceae","species","accepted","Strychnos brasiliensis",NA,NA,NA,"was misspelled","Strichnos brasiliensis"
"153",8784,"Lafoensia pacari A.St.-Hil.",NA,"Lythraceae","species","accepted","Lafoensia pacari","LC",NA,NA,"","Lafoensia pacari"
"154",19416,"Bunchosia pallescens Skottsb.",NA,"Malpighiaceae","species","accepted","Bunchosia pallescens","LC",NA,NA,"","Bunchosia pallescens"
"155",9037,"Ceiba speciosa (A.St.-Hil.) Ravenna",NA,"Malvaceae","species","accepted","Ceiba speciosa",NA,NA,NA,"","Ceiba speciosa"
"156",9065,"Guazuma ulmifolia Lam.",NA,"Malvaceae","species","accepted","Guazuma ulmifolia",NA,NA,NA,"","Guazuma ulmifolia"
"157",9094,"Luehea divaricata  Mart.",NA,"Malvaceae","species","accepted","Luehea divaricata",NA,NA,NA,"","Luehea divaricata"
"158",9195,"Pseudobombax grandiflorum (Cav.) A.Robyns",NA,"Malvaceae","species","accepted","Pseudobombax grandiflorum","LC",NA,NA,"","Pseudobombax grandiflorum"
"159",9677,"Miconia buddlejoides Triana",NA,"Melastomataceae","species","accepted","Miconia buddlejoides",NA,NA,NA,"replaced synonym","Miconia budlejoides"
"160",9686,"Miconia cinerascens Miq.",NA,"Melastomataceae","species","accepted","Miconia cinerascens",NA,NA,NA,"","Miconia cinerascens"
"161",9743,"Miconia paniculata (DC.) Naudin",NA,"Melastomataceae","species","accepted","Miconia paniculata","LC",NA,NA,"replaced synonym","Miconia doriana"
"162",9754,"Miconia pusilliflora (DC.) Naudin",NA,"Melastomataceae","species","accepted","Miconia pusilliflora",NA,NA,NA,"replaced synonym","Miconia hymenonervia"
"163",9726,"Miconia ligustroides (DC.) Naudin",NA,"Melastomataceae","species","accepted","Miconia ligustroides",NA,NA,NA,"","Miconia ligustroides"
"164",9746,"Miconia petropolitana Cogn.",NA,"Melastomataceae","species","accepted","Miconia petropolitana",NA,NA,NA,"","Miconia petropolitana"
"165",9754,"Miconia pusilliflora (DC.) Naudin",NA,"Melastomataceae","species","accepted","Miconia pusilliflora",NA,NA,NA,"was misspelled","Miconia pusiliflora"
"166",9767,"Miconia shepherdii R.Goldenb. & Reginato",NA,"Melastomataceae","species","accepted","Miconia shepherdii",NA,NA,NA,"","Miconia shepherdii"
"167",9666,"Miconia Ruiz & Pav.",NA,"Melastomataceae","genus","accepted","Miconia sp.",NA,NA,NA,"","Miconia sp."
"168",9776,"Miconia tristis Spring",NA,"Melastomataceae","species","accepted","Miconia tristis",NA,NA,NA,"","Miconia tristis"
"169",9988,"Cabralea canjerana (Vell.) Mart.",NA,"Meliaceae","species","accepted","Cabralea canjerana",NA,NA,NA,"","Cabralea canjerana"
"170",9990,"Cedrela fissilis Vell.",NA,"Meliaceae","species","accepted","Cedrela fissilis","VU","VU","VU","","Cedrela fissilis"
"171",9997,"Guarea macrophylla Vahl",NA,"Meliaceae","species","accepted","Guarea macrophylla",NA,NA,NA,"","Guarea macrophylla"
"172",10001,"Trichilia catigua A.Juss.",NA,"Meliaceae","species","accepted","Trichilia catigua",NA,NA,NA,"","Trichilia catigua"
"173",10002,"Trichilia clausseni C.DC.",NA,"Meliaceae","species","accepted","Trichilia clausseni",NA,NA,NA,"was misspelled","Trichilia claussenii"
"174",10003,"Trichilia elegans A.Juss.",NA,"Meliaceae","species","accepted","Trichilia elegans",NA,NA,NA,"","Trichilia elegans"
"175",10011,"Trichilia pallida Sw.",NA,"Meliaceae","species","accepted","Trichilia pallida",NA,NA,NA,"","Trichilia pallida"
"176",10072,"Mollinedia argyrogyna Perkins",NA,"Monimiaceae","species","accepted","Mollinedia argyrogyna","LC",NA,NA,"","Mollinedia argyrogyna"
"177",10081,"Mollinedia elegans Tul.",NA,"Monimiaceae","species","accepted","Mollinedia elegans",NA,NA,NA,"","Mollinedia elegans"
"178",10101,"Mollinedia schottiana (Spreng.) Perkins",NA,"Monimiaceae","species","accepted","Mollinedia schottiana",NA,NA,NA,"","Mollinedia schottiana"
