"id"	"scientific.name"	"accepted.name"	"family"	"taxon.rank"	"taxon.status"	"search.str"	"threat.status.cnc"	"threat.status.mma"	"threat.status.mma2022"	"notes"	"original.search"
"50"	116137	"Cordia americana (L.) Gottschling & J.S.Mill."	NA	"Cordiaceae"	"species"	"accepted"	"Cordia americana"	NA	NA	NA	"replaced synonym"	"Patagonula americana"
"51"	111724	"Cinnamodendron dinisii Schwacke"	NA	"Canellaceae"	"species"	"accepted"	"Cinnamodendron dinisii"	NA	NA	NA	"replaced synonym"	"Capsicodendron dinisii"
"52"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not found"	"Trema micrantha"
"53"	6679	"Citronella paniculata (Mart.) R.A.Howard"	NA	"Cardiopteridaceae"	"species"	"accepted"	"Citronella paniculata"	NA	NA	NA	""	"Citronella paniculata"
"54"	6681	"Jacaratia heptaphylla (Vell.) A.DC."	NA	"Caricaceae"	"species"	"accepted"	"Jacaratia heptaphylla"	NA	NA	NA	""	"Jacaratia heptaphylla"
"55"	604475	"Monteverdia aquifolium (Mart.) Biral"	NA	"Celastraceae"	"species"	"accepted"	"Monteverdia aquifolium"	NA	NA	NA	"replaced synonym"	"Maytenus aquifolia"
"56"	604564	"Monteverdia evonymoides (Reissek) Biral"	NA	"Celastraceae"	"species"	"accepted"	"Monteverdia evonymoides"	NA	NA	NA	"replaced synonym"	"Maytenus evonymoides"
"57"	605640	"Monteverdia gonoclada (Mart.) Biral"	NA	"Celastraceae"	"species"	"accepted"	"Monteverdia gonoclada"	"LC"	NA	NA	"replaced synonym"	"Maytenus salicifolia"
"58"	6746	"Maytenus Molina"	NA	"Celastraceae"	"genus"	"accepted"	"Maytenus sp.1"	NA	NA	NA	""	"Maytenus sp.1"
"59"	16832	"Licania kunthiana Hook.f."	NA	"Chrysobalanaceae"	"species"	"accepted"	"Licania kunthiana"	NA	NA	NA	""	"Licania kunthiana"
"60"	6824	"Clethra scabra Pers."	NA	"Clethraceae"	"species"	"accepted"	"Clethra scabra"	"LC"	NA	NA	""	"Clethra scabra"
"61"	6922	"Terminalia triflora (Griseb.) Lillo"	NA	"Combretaceae"	"species"	"accepted"	"Terminalia triflora"	"DD"	NA	NA	""	"Terminalia triflora"
"62"	7129	"Weinmannia paulliniifolia Pohl ex Ser."	NA	"Cunoniaceae"	"species"	"accepted"	"Weinmannia paulliniifolia"	"NT"	NA	NA	""	"Weinmannia paulliniifolia"
"63"	7448	"Sloanea lasiocoma K.Schum."	NA	"Elaeocarpaceae"	"species"	"accepted"	"Sloanea lasiocoma"	NA	NA	NA	""	"Sloanea lasiocoma"
"64"	7462	"Agarista oleifolia (Cham.) G.Don"	NA	"Ericaceae"	"species"	"accepted"	"Agarista oleifolia"	NA	NA	NA	""	"Agarista oleifolia"
"65"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not found"	"Erythroxyllum sp"
