"Famyli"	"Fitogeography_origin"	"Genus and species"	"n_MF1"	"n_MF2"	"n_MF3"	"n_MF4"	"n_MF5"	"n_MF6"	"biomass_total_MF1 (Mg)"	"biomass_total_MF2(Mg)"	"biomass_total_MF3 (Mg)"	"biomass_total_MF4 (Mg)"	"biomass_total_MF5 (Mg)"	"biomass_total_MF6 (Mg)"
"276"	"Cunoniaceae"	"Temp"	"Weinmannia_paulliniifolia"	NA	NA	NA	3	NA	NA	NA	NA	NA	1,17934240134066	NA	NA
"157"	"Elaeocarpaceae"	"Trop"	"Sloanea_lasiocoma"	NA	7	NA	1	NA	NA	NA	0,789960559967956	NA	0,0072968294411116	NA	NA
"334"	"Ericaceae"	"Trop"	"Agarista_oleifolia"	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA	0,404562192173923
"183"	"Erythroxylaceae"	"Trop"	"Erythroxyllum_sp"	NA	2	NA	NA	NA	NA	NA	0,0137918424419775	NA	NA	NA	NA
"81"	"Erythroxylaceae"	"Trop"	"Erythroxylum_cuneifolium"	2	NA	NA	NA	NA	NA	0,0949164536655474	NA	NA	NA	NA	NA
"125"	"Euphorbiaceae"	"Trop"	"Actinostemon_concepcionis"	NA	25	NA	NA	NA	NA	NA	0,56346469490928	NA	NA	NA	NA
"194"	"Euphorbiaceae"	"Trop"	"Alchornea_glandulosa"	NA	1	NA	NA	2	NA	NA	0,00937693754726598	NA	NA	0,0426561282125337	NA
"164"	"Euphorbiaceae"	"Trop"	"Alchornea_triplinervia"	NA	5	NA	NA	3	NA	NA	0,576097137701742	NA	NA	0,037529667869019	NA
"138"	"Euphorbiaceae"	"Trop"	"Croton_floribundus"	NA	13	NA	NA	NA	NA	NA	2,16441137644405	NA	NA	NA	NA
"283"	"Euphorbiaceae"	"Trop"	"Croton_macrobothrys"	NA	NA	NA	1	NA	NA	NA	NA	NA	0,0356115091067593	NA	NA
"102"	"Euphorbiaceae"	"Trop"	"Micrandra_sp."	1	NA	NA	NA	NA	NA	0,54020291929188	NA	NA	NA	NA	NA
"27"	"Euphorbiaceae"	"Trop"	"Sapium_glandulosum"	17	NA	NA	NA	18	NA	2,09155014055718	NA	NA	NA	1,30200316347479	NA
"292"	"Euphorbiaceae"	"Trop"	"Sebastiania_brasiliensis"	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	2,23207485994873	NA
"88"	"Euphorbiaceae"	"Trop"	"Sebastiania_klotzschiana"	2	20	NA	NA	NA	NA	0,0227443586859952	1,8557770939306	NA	NA	NA	NA
"158"	"Euphorbiaceae"	"Trop"	"Tetrorchidium_rubrivenium"	NA	7	NA	NA	NA	NA	NA	0,131935011286243	NA	NA	NA	NA
"193"	"Fabaceae"	"Trop"	"Acacia_polyphylla"	NA	1	NA	NA	NA	NA	NA	0,0118505390530784	NA	NA	NA	NA
"50"	"Fabaceae"	"Trop"	"Anadenanthera_sp."	6	NA	NA	NA	NA	NA	0,551635484760907	NA	NA	NA	NA	NA
"52"	"Fabaceae"	"Trop"	"Cassia_leptophylla"	6	1	NA	NA	NA	NA	1,47246178039259	0,993287868956787	NA	NA	NA	NA
"78"	"Fabaceae"	"Trop"	"Copaifera_langsdorffii"	2	3	NA	NA	NA	NA	0,513690819313113	0,764127707104646	NA	NA	NA	NA
"130"	"Fabaceae"	"Trop"	"Copaifera_trapezifolia"	NA	21	NA	NA	NA	NA	NA	1,00171661281126	NA	NA	NA	NA
"56"	"Fabaceae"	"Trop"	"Dalbergia_brasiliensis"	5	NA	NA	NA	28	NA	2,68608642700852	NA	NA	NA	3,28837441775188	NA
"308"	"Fabaceae"	"Trop"	"Dalbergia_myriantha"	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	0,0714974855739047	NA
"80"	"Fabaceae"	"Trop"	"Enterolobium_sp."	2	NA	NA	NA	NA	NA	0,192782922551478	NA	NA	NA	NA	NA
"46"	"Fabaceae"	"Trop"	"Erythrina_falcata"	7	NA	NA	NA	NA	NA	0,634025377324395	NA	NA	NA	NA	NA
