Family;Species ;Phyto. Ori.;Aboveground Biomass (Mg.ha-1);;;;;;Species Abundance (ha-1);;;;;
;;;MF1;MF2;MF3;MF4;MF5;MF6;MF1;MF2;MF3;MF4;MF5;MF6
;Ocotea diospyrifolia;Trop;;5,334;;;1,801;;;9;;;14;
;Ocotea dispersa;Trop;;;0,217;;0,318;;;;6;;11;
;Ocotea glaziovii;Trop;;;0,042;0,059;0,401;;;;2;8;6;
;Ocotea indecora;Trop;16,327;3,773;0,007;;;;118;24;1;;;
;Ocotea nutans;Trop;10,993;;;;;;69;;;;;
;Ocotea odorifera;Trop;0,030;;;;0,006;;3;;;;1;
;Ocotea prolifera;Trop;;0,081;;;;;;2;;;;140
;Ocotea puberula;Trop;18,136;;0,440;0,004;;;42;;6;1;;
;Ocotea pulchella;Trop;;0,257;5,621;0,552;5,611;4,664;;1;72;18;79;
;Ocotea silvestris;Trop;;0,607;;;0,190;;;6;;;4;
;Ocotea sp.;Trop;0,998;;;;;;9;;;;;
;Ocotea teleiandra;Trop;;0,891;;;;;;1;;;;
;Persea alba;Trop;;;0,556;;;;;;1;;;
;Persea sp.;Trop;0,478;;;;;;2;;;;;
;Persea willdenovii;Trop;;2,418;0,455;;2,469;;;1;3;;5;
Loganiaceae;;;;;;;;;;;;;;
;Strichnos brasiliensis;Trop;0,036;;;;;;3;;;;;
Lythraceae;;;;;;;;;;;;;;
;Lafoensia pacari;Trop;;;;;8,319;;;;;;119;
Malpighiaceae;;;;;;;;;;;;;;
;Bunchosia pallescens;Trop;0,352;;;;;;3;;;;;
Malvaceae;;;;;;;;;;;;;;
;Ceiba speciosa;Trop;;0,422;;;;;;1;;;;
;Guazuma ulmifolia;Trop;3,365;0,035;;;;;203;1;;;;
;Luehea divaricata;Trop;7,860;15,009;;;;;46;37;;;;14
;Pseudobombax grandiflorum;Trop;;0,005;;;;;;1;;;;
Melastomataceae;;;;;;;;;;;;;;
;Miconia budlejoides;Trop;;;;;;0,135;;;;;;
;Miconia cinerascens;Trop;;;0,065;0,704;;;;;6;40;;
;Miconia doriana;Trop;;0,032;;;;;;1;;;;
;Miconia ligustroides;Trop;;;;;1,258;;;;;;27;
;Miconia petropolitana;Trop;;0,025;;;;;;3;;;;
;Miconia pusilliflora;Trop;;0,007;;;0,101;;;1;;;5;
;Miconia shepherdii;Trop;;;;;0,114;;;;;;5;
;Miconia sp.;Trop;0,007;;;;;;1;;;;;
;Miconia tristis;Trop;;0,007;;;;;;1;;;;
Meliaceae;;;;;;;;;;;;;;
;Cabralea canjerana;Trop;0,045;0,653;;;0,093;;6;17;;;2;
;Cedrela fissilis;Trop;12,330;2,798;;0,016;0,103;;20;5;;2;2;
;Guarea macrophylla;Trop;;0,015;;;;;;1;;;;
;Trichilia catigua;Trop;;1,602;;;;;;50;;;;
;Trichilia claussenii;Trop;;1,009;;;;;;22;;;;
;Trichilia elegans;Trop;0,034;0,135;;;;;3;7;;;;
;Trichilia pallida;Trop;;0,022;;;;;;2;;;;
Monimiaceae;;;;;;;;;;;;;;
;Mollinedia argyrogyna;Trop;;0,075;;;0,024;;;2;;;2;
;Mollinedia elegans;Trop;;0,380;;;;;;22;;;;
;Mollinedia schottiana;Trop;;0,009;;;;;;1;;;;
Moraceae;;;;;;;;;;;;;;
;Ficus luschnathiana;Trop;;0,187;;;;;;2;;;;
;Ficus sp.;Trop;0,047;;;;;;1;;;;;
;Sorocea bonplandii;Trop;0,022;9,174;;;0,343;;1;187;;;14;
Myrtaceae;;;;;;;;;;;;;;
;Blepharocalyx salicifolius;Trop;;;;;0,359;;;;;;7;
;Campomanesia eugenioides;Trop;;;;;0,074;;;;;;2;
;Campomanesia guazumifolia;Trop;;1,304;;;0,420;;;15;;;14;
;Campomanesia sp.1;Trop;0,025;;;;;;1;;;;;
;Campomanesia sp.2;Trop;0,369;;;;;;8;;;;;
;Campomanesia xanthocarpa;Trop;4,378;0,478;;;;;49;4;;;;
;Eugenia sp.1;Trop;;;;;0,494;;;;;;1;
;Eugenia sp.2;Trop;;;;;0,016;;;;;;1;
;Eugenia cerasiflora;Trop;2,797;;;;;;37;;;;;
;Eugenia dodonaeifolia;Trop;;0,164;;;;;;5;;;;
;Eugenia involucrata;Trop;1,115;;;;0,040;;26;;;;1;
;Eugenia ligustrina;Trop;0,338;4,317;0,181;;0,898;;9;102;2;;16;
;Eugenia neoverrucosa;Trop;2,770;;;;;;85;;;;;
;Eugenia pluriflora;Trop;;;;;3,062;;;;;;106;
;Eugenia prasina;Trop;0,022;;;;;;2;;;;;
;Eugenia ramboi;Trop;;0,751;;;4,984;;;3;;;76;
;Eugenia sp.;Trop;;;;;0,048;;;;;;1;
;Eugenia sp.2;Trop;0,227;;;;;;7;;;;;
;Eugenia sp.7;Trop;;;;;0,153;;;;;;3;
;Eugenia speciosa;Trop;0,012;;;;;;1;;;;;
;Eugenia stenophylla;Trop;;2,690;;;;;;26;;;;
;Eugenia uniflora;Trop;;0,099;;;;;;5;;;;498
;Myciaria tenella;Trop;;;0,015;;;;;;1;;;
;Myrceugenia bracteosa;Temp;;;;;;21,614;;;;;;
;Myrceugenia brevipedicellata;Temp;0,133;;0,067;;;;5;;3;;;
;Myrceugenia campestris;Temp;0,307;;;;;;13;;;;;
;Myrceugenia miersiana;Temp;;;23,711;1,466;0,239;;;;411;30;10;32
;Myrceugenia ovata;Temp;;;0,114;;;;;;4;;;
;Myrceugenia regnelliana;Temp;;;;;;0,338;;;;;;
;Myrceugenia rufescens;Temp;;;9,262;20,684;0,374;;;;52;69;13;
;Myrceugenia scutellata;Temp;;;;;0,012;;;;;;1;
;Myrceugenia sp. 2;Temp;;;1,557;;;;;;20;;;
;Myrcia sp.2;Trop;;;0,040;;;;;;2;;;
;Myrcia aethusa;Trop;;;;;0,027;;;;;;1;
;Myrcia bicarinata;Trop;;;;;0,971;;;;;;17;2
;Myrcia glomerata;Trop;;;;0,144;0,785;;;;;2;22;
;Myrcia guianensis;Trop;;;;;2,733;0,050;;;;;51;
;Myrcia hartwegiana;Trop;;;4,531;6,997;0,197;;;;167;112;13;
;Myrcia loranthifolia;Trop;;0,040;;;;;;3;;;;
;Myrcia multiflora;Trop;1,293;0,324;;;0,017;;32;7;;;1;
;Myrcia neolucida;Trop;;;1,260;;;;;;6;;;146
;Myrcia retorta;Trop;;;8,896;0,044;;;;;35;1;;
;Myrcia selloi;Trop;;0,104;7,296;;5,432;6,247;;3;64;;114;
;Myrcia sp.1;Trop;;;;;0,015;;;;;;1;22
;Myrcia splendens;Trop;0,105;0,156;0,061;0,009;0,527;;2;4;3;1;16;
;Myrcia subcordata;Trop;;0,062;;0,008;6,479;0,812;;1;;1;62;
;Myrcia tenuivenosa;Trop;0,010;;;;;;1;;;;;40
;Myrcia tomentosa;Trop;0,375;;;;;;14;;;;;
;Myrcia venulosa;Trop;;;;;1,205;0,948;;;;;14;
;Myrciaria tenella;Trop;;;0,356;;;;;;22;;;
;Neomitranthes pedicellata;Trop;;;;;0,462;;;;;;12;4
;Neomitranthes sp;Trop;;;;0,219;;;;;;4;;
;Pimenta pseudocaryophyllus;Trop;;;0,010;;;0,326;;;1;;;
;Plinia peruviana;Trop;;0,011;;;;;;1;;;;
;Plinia rivularis;Trop;;0,231;;;0,055;;;6;;;1;
;Psidium sp.2;Trop;;;;;0,212;;;;;;3;10
;Psidum sp.1;Trop;0,016;;;;;;1;;;;;
;Siphoneugena crassifolia;Trop;;;;;;0,167;;;;;;
;Siphoneugena densiflora;Trop;;;;;0,113;;;;;;6;
;Siphoneugena reitzii;Trop;;;0,125;0,112;0,034;;;;9;10;1;
Nyctaginaceae;;;;;;;;;;;;;;
;Guapira opposita;Trop;3,132;0,017;;;0,016;;6;3;;;1;
Olacaceae;;;;;;;;;;;;;;
;Tetrastylidium grandifolium;Trop;0,037;;;;;;1;;;;;
;Chionanthus filiformis;Trop;;0,236;;;;;;7;;;;4
Opiliaceae;;;;;;;;;;;;;;
;Agonandra brasiliensis;Trop;;1,382;;;;;;6;;;;
Pentaphylacaceae;;;;;;;;;;;;;;
;Ternstroemia brasiliensis;Trop;;;;;;0,327;;;;;;
Peraceae;;;;;;;;;;;;;;
;Pera glabrata;Trop;;0,731;;;;;;2;;;;
Phytolaccaceae;;;;;;;;;;;;;;
;Seguieria langsdorffii;Trop;;0,128;;;;;;2;;;;
Picramniaceae;;;;;;;;;;;;;;
;Picramnia glazioviana;Trop;;;0,100;;;;;;2;;;
;Picramnia parvifolia;Trop;;;0,614;;0,105;;;;22;;2;
;Picramnia sellowii;Trop;0,007;;;;;;1;;;;;
;Picramnia sp;Trop;;;0,105;;;;;;4;;;478
;Picramnia sp.2;Trop;0,089;;;;;;1;;;;;
Podocarpaceae;;;;;;;;;;;;;;
;Podocarpus lambertii;Temp;;;92,940;33,500;6,645;118,480;;;53;59;34;12
Polygonaceae;;;;;;;;;;;;;;
;Coccoloba warmingii;Trop;1,744;;;;;;16;;;;;14
Primulaceae;;;;;;;;;;;;;;
;Myrsine coriacea;Trop;;;1,379;;;0,705;;;6;;;10
;Myrsine gardneriana;Trop;;;;;;1,515;;;;;;
;Myrsine lancifolia;Trop;;;;;;1,070;;;;;;210
;Myrsine loefgrenii;Trop;;0,224;;;;;;7;;;;
;Myrsine umbellata;Trop;0,172;0,200;16,676;6,312;1,898;11,969;11;4;106;80;44;
Proteaceae;;;;;;;;;;;;;;
;Roupala brasiliensis;Trop;1,215;;;;;;9;;;;;
;Roupala montana;Trop;;;0,012;0,007;2,531;;;;1;1;60;10
Rhamnaceae;;;;;;;;;;;;;;
;Colubrina glandulosa;Trop;;0,199;;;;;;2;;;;
;Frangula sphaerosperma;Temp;;;0,190;0,688;0,037;0,116;;;6;10;3;16
;Rhamnidium elaeocarpum;Trop;;0,165;;;;;;7;;;;
Rosaceae;;;;;;;;;;;;;;
;Prunus myrtifolia;Temp;9,466;0,425;12,660;5,354;1,529;0,967;40;10;94;74;23;
Rubiaceae;;;;;;;;;;;;;;
;Amaioua intermedia;Trop;;0,050;;;;;;1;;;;
;Chomelia obtusa;Trop;;0,078;;;;;;3;;;;
;Cordiera concolor;Trop;;0,155;;;;;;7;;;;
;Cordiera myrciifolia;Trop;0,085;0,028;;0,045;;;9;3;;5;;
